#Coincident events which overlap by the sum of both gatelengths.
Ch0 time/s;(time ch.0 - time ch.1)/ns;energy ch.0;energy ch.1
5574.572318454781;116.375;8645;1470
5574.786438313593;-169.59375;87;89
5574.913307659188;-135.1875;152;3
5575.297665274657;-13.34375;6;7
5576.149066434;-30;136;26
5576.219485890657;-177.0625;223;38
5576.499810398657;-176.28125;194;49
5577.034862350656;-28;172;361
5577.241727306344;-26.34375;116;127
5577.684738192001;-200;136;20
5577.771028536001;-120;296;4
5578.206717674;-18;181;78
5578.275826772782;-216.21875;320;35
5578.752767598375;-67.71875;143;122
5579.462177122657;-125.34375;4;6
5581.044885150375;25.625;129;35
5581.207538278656;58.9375;6;4
5581.983987858657;-87.46875;259;101
5583.100426038219;-54.21875;210;59
5584.759876451406;-113.40625;188;7
5585.398856458468;-189.15625;403;417
5589.279459293125;-75.125;198;3
5591.213681508312;85.84375;584;266
5596.99449193725;-141.25;258;87
5600.1998758149075;129.09375;93;7
5602.733902700001;-154;195;49
5602.8081895791875;-177.59375;309;25
5603.955113313844;117.03125;6467;5
5604.099907006;-174;120;4
5609.658851706906;229.09375;60;3
5610.1620722180005;-178;84;28
5610.315121747687;-47.6875;218;111
5611.1302365858755;-175.21875;11;7
5611.261039209876;-90.78125;535;716
5611.3993809828125;10.09375;5;8
5612.848467316;15.1875;332;53
5614.907880094719;166.59375;135;6
5615.857958794;-226;287;23
5617.6194660559995;16;238;3
5619.440721559188;-247.1875;119;54
5620.3377562791875;-111.1875;226;50
5621.880633600594;116.71875;6;7
5625.957627860001;28;77;6
5626.827837952001;-22;258;42
5628.456665088719;51.28125;8;3
5628.566791837001;4.4375;14426;1802
5628.911997951094;-159.09375;131;89
5629.076851435188;10.125;133;54
5629.1491926240005;20;254;98
5629.241761197594;130.40625;94;52
5629.585499096437;-141.90625;7186;1737
5629.8532055079995;-156;108;29
5629.897042530157;-172.84375;273;79
5630.173092401438;-133.4375;285;62
5631.557385713312;-12;222;27
5631.657822462657;-142.65625;117;82
5631.715565315688;-173.03125;270;76
5632.052882059531;-170.21875;265;81
5632.29997853475;89.25;217;99
5632.4107923178135;-127.15625;315;46
5632.7673631823745;65.625;90;39
5632.964436460344;-114.75;238;67
5633.057963530813;-162.8125;110;134
5633.114241986;-103.34375;176;26
5633.415853705125;30.875;5;4
5633.552852204782;-6.40625;243;4
5634.896201723406;47.25;66;74
5635.249549221313;-123.03125;326;34
5635.5362700000005;-187.4375;357;22
5635.818801206844;17.15625;182;46
5635.9672479764695;15.53125;59;7
5636.1897706470945;-191.09375;265;49
5636.391587789312;-53.3125;190;31
5636.52083941;-180.6875;138;4
5636.569627857063;-147.0625;166;72
5637.0938099868445;-214.0625;228;5
5637.155626306657;-70.65625;228;48
5637.487203772876;-0.875;162;122
5638.112781656;-42.6875;9;5
5638.265781847251;-153.9375;245;79
5638.67165382;-42;172;23
5638.773330616001;8;145;21
5639.207341859531;-83.53125;297;7
5640.391686809626;144.65625;11;3
5640.988655107188;-91.1875;106;34
5641.142264944;40;52;6
5641.352382813813;-77.8125;229;61
5641.535698608782;-127.46875;329;55
5641.54975344;-124.8125;348;23
5641.600202762657;-89.0625;266;5
5641.917316683687;-185.03125;196;77
5642.026397167188;-196;250;8
5642.441255604;-16;192;42
5643.431803341;339;43;75
5644.426650368;-198;284;6
5644.811742627313;-188.65625;318;47
5645.106395414657;-206.65625;227;7
5645.660618620781;-64.78125;144;39
5645.763498297438;-80.84375;2029;6
5646.300604996781;-184.21875;324;4
