TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:46 AM
Timebase: 	0.5 sec.
Operator: 	ME            90° Magnet
Operator units: 	A
Monitor1: 	FC7a         ME Moveable
Monitor1 units: 	% f.s.
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	
110.782 	0.00	 
110.832 	0.00	 
110.882 	0.00	 
110.932 	0.00	 
110.982 	0.00	 
111.032 	0.00	 
111.082 	0.00	 
111.132 	0.00	 
111.182 	0.00	 
111.232 	0.00	 
111.282 	0.00	 
111.332 	0.00	 
111.382 	0.00	 
111.432 	0.00	 
111.482 	0.00	 
111.532 	0.00	 
111.582 	0.00	 
111.632 	0.00	 
111.682 	0.00	 
111.732 	0.00	 
111.782 	0.00	 
111.832 	0.00	 
111.882 	0.00	 
111.933 	0.00	 
111.983 	0.00	 
112.033 	0.00	 
112.083 	0.00	 
112.133 	0.00	 
112.183 	0.00	 
112.233 	0.00	 
112.283 	0.00	 
112.333 	0.00	 
112.383 	0.00	 
112.433 	0.00	 
112.483 	0.00	 
112.533 	0.00	 
112.583 	0.00	 
112.633 	0.00	 
112.683 	0.00	 
112.733 	0.00	 
112.783 	0.00	 
112.833 	0.00	 
112.883 	0.00	 
112.933 	0.00	 
112.983 	0.00	 
113.033 	0.00	 
113.083 	0.00	 
113.133 	0.00	 
113.183 	0.00	 
113.233 	0.00	 
113.283 	0.00	 
113.333 	0.00	 
113.383 	0.00	 
113.433 	0.00	 
113.483 	0.00	 
113.534 	0.00	 
113.584 	0.00	 
113.634 	0.00	 
113.684 	0.00	 
113.734 	0.00	 
113.784 	0.00	 
113.834 	0.00	 
113.884 	0.00	 
113.934 	0.00	 
113.984 	0.00	 
114.034 	0.00	 
114.084 	0.00	 
114.134 	0.00	 
114.184 	0.00	 
114.234 	0.00	 
114.284 	0.00	 
114.334 	0.00	 
114.384 	0.00	 
114.434 	0.00	 
114.484 	0.00	 
114.534 	0.00	 
114.584 	0.00	 
114.634 	0.00	 
114.684 	0.00	 
114.734 	0.00	 
114.784 	0.00	 
114.834 	0.00	 
114.884 	0.00	 
114.934 	0.00	 
114.984 	0.00	 
115.034 	0.00	 
115.084 	0.00	 
115.135 	0.00	 
115.185 	0.00	 
115.235 	0.00	 
115.285 	0.00	 
115.335 	0.00	 
115.385 	0.00	 
115.435 	0.00	 
115.485 	0.00	 
115.535 	0.00	 
115.585 	0.00	 
115.635 	0.00	 
115.685 	0.00	 
115.735 	0.00	 
115.785 	0.00	 
115.835 	0.00	 
115.885 	0.00	 
115.935 	0.00	 
115.985 	0.00	 
116.035 	0.00	 
116.085 	0.00	 
116.135 	0.00	 
116.185 	0.00	 
116.235 	0.00	 
116.285 	0.00	 
116.335 	0.00	 
116.385 	0.00	 
116.435 	0.00	 
116.485 	0.00	 
116.535 	0.00	 
116.585 	0.00	 
116.635 	0.00	 
116.685 	0.00	 
116.736 	0.00	 
116.786 	0.00	 
116.836 	0.00	 
116.886 	0.00	 
116.936 	0.00	 
116.986 	0.00	 
117.036 	0.00	 
117.086 	0.00	 
117.136 	0.00	 
117.186 	0.00	 
117.236 	0.00	 
117.286 	0.00	 
117.336 	0.00	 
117.386 	0.00	 
117.436 	0.00	 
117.486 	0.00	 
117.536 	0.00	 
117.586 	0.00	 
117.636 	0.00	 
117.686 	0.00	 
117.736 	0.00	 
117.786 	0.00	 
117.836 	0.00	 
117.886 	0.00	 
117.936 	0.00	 
117.986 	0.00	 
118.036 	0.00	 
118.086 	0.00	 
118.136 	0.00	 
118.186 	0.00	 
118.236 	0.00	 
118.286 	0.00	 
118.337 	0.00	 
118.387 	0.00	 
118.437 	0.00	 
118.487 	0.00	 
118.537 	0.00	 
118.587 	0.00	 
118.637 	0.00	 
118.687 	0.00	 
118.737 	0.00	 
118.787 	0.00	 
118.837 	0.00	 
118.887 	0.00	 
118.937 	0.00	 
118.987 	0.00	 
119.037 	0.00	 
119.087 	0.00	 
119.137 	0.00	 
119.187 	0.00	 
119.237 	0.00	 
119.287 	0.00	 
